video_id,video_title,video_like_count,video_view_count,comment_id,author,comment,timestamp,comment_like_count,reply_count,reply_id,reply_text,reply_author,reply_published
HcdohhNq8Iw,25 Best Countries To Visit In 2024 | Travel Guide 2024,10251,1220389,UgxN-e6nLFIkzfkPvyd4AaABAg,@mlbelmatatan,Beautiful places but everyone knows are boring places to go but if you want to enjoy vacations go to The Dominican Republic is the Top of Best Countries to Visit in 2024 but is not here.,2023-12-28 02:02:00,1,1,UgxN-e6nLFIkzfkPvyd4AaABAg.9yqm7vF9JjT9zXdJUa_RGq,what are some of the best cities to visit or parts of the country that are most beautiful or fun to visit,@HigherFrequencies-bc3sr,2024-01-14T02:51:31Z
0CVKc989V90,"10 Cheapest English Speaking Countries To Retire, Visit or Live",5801,338557,UgxxYjJVQV8AtBaZa9R4AaABAg,@Lily-td3co,"Jamaica and South Africa have massive crime rates and should be avoided even as a tourist. When I  stayed at a resort in Jamaica, there were armed guards at all gates of the 8' high fence surrounding the property.  Read the crime stats if your personal safety is important to you.",2024-07-13 03:03:17,286,61,UgxxYjJVQV8AtBaZa9R4AaABAg.A5oiXysm9GQAE82JOIXhLq,These videos are some sort of joke.... it's like listening to Trump spin the BS...,@williamcavanagh8982,2025-02-04T20:40:45Z
oEnQkKWOJDQ,Top 10 African Countries to Visit in 2021 | MojoTravels,2357,147607,UgwBdwLiDYSDaPGf48J4AaABAg,@soufianebairouk801,I'm moroccan and am shocked to see that my country is first tourist destination in Africa... It's an honor,2020-11-10 23:21:34,18,0,,,,
zjhtj7r_AvE,The Top 5 Countries YOU Should Visit in 2024! ✈️ 🌍 #travel #travelvlog #top5 #traveltips,0,1079360,UgyXzpGsgLEQ1WQmWsp4AaABAg,@ravinuappuhamy,Sri Lanka is one of the best tourist destinations even voted by Forbes,2024-08-01 11:01:54,0,0,,,,
zjhtj7r_AvE,The Top 5 Countries YOU Should Visit in 2024! ✈️ 🌍 #travel #travelvlog #top5 #traveltips,0,1079360,UgwbQGc2NLNj2aZ71TF4AaABAg,@may40-pp2bj,Thank you for visiting our country❤,2024-02-12 10:50:19,1,0,,,,
F0VIqLe4tpI,Top 10 Countries in Europe to Visit in 2021 | MojoTravels,8357,258691,UgzwVipSx4jMEIKr09Z4AaABAg,@sakshi_singhs25,Love from india❤️🇮🇳,2020-12-26 14:06:25,7,1,UgzwVipSx4jMEIKr09Z4AaABAg.9HjO-q_rFKB9NxqGjdhL2D,Do u have any idea for Holland 🇳🇱 🤔? Because I'm thinking for visit there in fact for PR,@mruk4211,2021-05-30T07:59:51Z
kYjeIRPn87s,Top 10 Best Countries To Visit In 2025 #top10 #countries #visit #2025,793,31062,UgzMwcrJhVzqJEg3ekZ4AaABAg,@nbie-o5p,Anyone from INDIA 👇,2024-12-18 14:05:23,33,5,UgzMwcrJhVzqJEg3ekZ4AaABAg.ACBjudMXIiOAHpMEVlYK2k,Rip if ur still in India or pakistan,@Fluffy_1234,2025-05-07T15:15:38Z
t6clmCbzO0E,25 Best Cheapest Countries To Visit In Europe 2024 | Travel Guide 2024,1157,79510,UgxJm4AksVWI6Aa1IJl4AaABAg,@Naturequest01,The discovery of the vibrant marine life in Indonesia's Raja Ampat islands showcases why it’s one of the most beautiful places in the world,2024-07-04 01:19:16,0,1,UgxJm4AksVWI6Aa1IJl4AaABAg.A5SMUN6YiuFA5TSP8htKgk,❤️❤️,@scenichunter,2024-07-04T11:30:14Z
rESOc5PmBx8,10 Best Countries to Visit for Long Term Stays in 2025,3382,106627,UgxEWAPukK0qfpP6dxd4AaABAg,@jabow1878,"I would stay in Italy. Be close to, but not in a big city. Public transportation is so easy. By bus you can be in a big city for a day of touring or the seashore for some beach time. Food is reasonable and delicious. A friendly smile is a big welcome mat. Lots of my grandson’s grandparents are returning to Italy, dragging their grands with them. If I overnighted in Rome I’d look for a pension rather than a hotel. We stay in a place that has been a pension since the 1600s!",2024-09-07 12:47:55,9,3,UgxEWAPukK0qfpP6dxd4AaABAg.A84xy-8r0ATA9R7-NN1dPK,"@@FIRED13a Pension is a type of lodging in Europe.  Cheaper, small, local places.",@ddherself,2024-10-10T23:50:19Z
l74uBTzJScw,Top 5 safest countries in Africa to visit😱😍,3756,76773,UgyqXF2ZApQOeVgGfTd4AaABAg,@ryanashcroft4228,I'm from the UK and I don't understand how you haven't got a larger following. Thankyou for the latest global updates and keep it up. 🙌,2022-10-09 15:32:53,7,0,,,,
